Tracking PC: r+, Inst: None
Time 25: PC -> 0x80000
Time 55: PC -> 0x80008
Time 75: PC -> 0x80010
Time 95: PC -> 0x80018
Time 115: PC -> 0x10078
Time 135: PC -> 0x10080
Time 155: PC -> 0x10088
Time 175: PC -> 0x10090
Time 195: PC -> 0x10098
Time 215: PC -> 0x100a0
Time 235: PC -> 0x100a8
Time 255: PC -> 0x100b0
Time 275: PC -> 0x100b8
Time 295: PC -> 0x100c0
Time 315: PC -> 0x100c8
Time 335: PC -> 0x100d0
Time 355: PC -> 0x100d8
Time 375: PC -> 0x100e0
Time 395: PC -> 0x100e8
Time 415: PC -> 0x100f0
Time 435: PC -> 0x100f8
Time 455: PC -> 0x10140
Time 475: PC -> 0x10148
Time 505: PC -> 0x10150
Time 525: PC -> 0x10158
Time 545: PC -> 0x10160
Time 565: PC -> 0x10168
Time 585: PC -> 0x10170
Time 605: PC -> 0x10178
Time 625: PC -> 0x10180
Time 645: PC -> 0x10188
Time 665: PC -> 0x10190
Time 705: PC -> 0x10198
Time 725: PC -> 0x101c8
Time 735: PC -> 0x101d0
Time 755: PC -> 0x101d8
Time 775: PC -> 0x101e0
Time 805: PC -> 0x101e8
Time 825: PC -> 0x101f0
Time 845: PC -> 0x101f8
Time 865: PC -> 0x101a8
Time 885: PC -> 0x101b0
Time 905: PC -> 0x101b8
Time 925: PC -> 0x101c0
Time 945: PC -> 0x10168
Time 955: PC -> 0x10170
Time 975: PC -> 0x10178
Time 995: PC -> 0x10180
Time 1015: PC -> 0x10188
Time 1035: PC -> 0x10190
Time 1075: PC -> 0x10198
Time 1095: PC -> 0x101a0
Time 1115: PC -> 0x101a8
Time 1135: PC -> 0x101b0
Time 1155: PC -> 0x10180
Time 1165: PC -> 0x10188
Time 1185: PC -> 0x10190
Time 1225: PC -> 0x10198
Time 1245: PC -> 0x101c8
Time 1255: PC -> 0x101d0
Time 1275: PC -> 0x101d8
Time 1295: PC -> 0x101e0
Time 1325: PC -> 0x101e8
Time 1345: PC -> 0x101f0
Time 1365: PC -> 0x101f8
Time 1385: PC -> 0x101a8
Time 1405: PC -> 0x101b0
Time 1425: PC -> 0x101b8
Time 1445: PC -> 0x101c0
Time 1465: PC -> 0x10168
Time 1475: PC -> 0x10170
Time 1495: PC -> 0x10178
Time 1515: PC -> 0x10180
Time 1535: PC -> 0x10188
Time 1555: PC -> 0x10190
Time 1595: PC -> 0x10198
Time 1615: PC -> 0x101c8
Time 1625: PC -> 0x101d0
Time 1645: PC -> 0x101d8
Time 1665: PC -> 0x101e0
Time 1695: PC -> 0x101e8
Time 1715: PC -> 0x101f0
Time 1735: PC -> 0x101f8
Time 1755: PC -> 0x101a8
Time 1775: PC -> 0x101b0
Time 1795: PC -> 0x101b8
Time 1815: PC -> 0x101c0
Time 1835: PC -> 0x10168
Time 1845: PC -> 0x10170
Time 1865: PC -> 0x10178
Time 1885: PC -> 0x10180
Time 1905: PC -> 0x10188
Time 1925: PC -> 0x10190
Time 1965: PC -> 0x10198
Time 1985: PC -> 0x101a0
Time 2005: PC -> 0x101a8
Time 2025: PC -> 0x101b0
Time 2045: PC -> 0x10180
Time 2055: PC -> 0x10188
Time 2075: PC -> 0x10190
Time 2115: PC -> 0x10198
Time 2135: PC -> 0x101a0
Time 2155: PC -> 0x101a8
Time 2175: PC -> 0x101b0
Time 2195: PC -> 0x10180
Time 2205: PC -> 0x10188
Time 2225: PC -> 0x10190
Time 2265: PC -> 0x10198
Time 2285: PC -> 0x101a0
Time 2305: PC -> 0x101a8
Time 2325: PC -> 0x101b0
Time 2345: PC -> 0x10180
Time 2355: PC -> 0x10188
Time 2375: PC -> 0x10190
Time 2415: PC -> 0x10198
Time 2435: PC -> 0x101c8
Time 2445: PC -> 0x101d0
Time 2465: PC -> 0x101d8
Time 2485: PC -> 0x101e0
